nos,customer_category,application_no,channel_code,marketing_program_code,gender_desc,marital_code,flag_contactless,rcc_billing,flag_on_us
1026341249,FFL,SB1100045230,B,B,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-274525281,NOR,LF1165386743,0,0,Female,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
2078399363,NOR,LF1140609646,B,B,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
1326125937,BCO,C22110303437,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
2072584949,NOR,HQ1200131788,0,V,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
625315057,BCO,C21081802059,0,0,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1480431740,BCO,C19082901571,0,0,Male,SIN,CONTACTLESS,JAKARTA 5,ON US
-1038884705,NOR,LF1140105579,0,Z,Female,SIN,NOT CONTACTLESS,SEMARANG,ON US
356810069,NOR,,0,0,Female,MAR,CONTACTLESS,JAKARTA 4,ON US
-261264763,STF,C23012500528,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
740838494,BCO,HQ1100194401,H,A,Male,SIN,NOT CONTACTLESS,DENPASAR,ON US
-1702159355,BCO,C23072002693,0,0,Female,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
306414942,NOR,LF1165408655,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
306414942,NOR,LF1165408655,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-348147120,NOR,LF1140026860,L,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1483599411,NOR,LF1130080195,0,Y,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-47976907,NOR,MD1100048287,F,G,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-2031414878,NOR,HQ1200182386,0,Z,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
184380496,NOR,LF1140317864,B,Z,Male,MAR,NOT CONTACTLESS,DENPASAR,ON US
-901065116,CLS,C22081501870,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
2006125794,NOR,PB0800005891,0,0,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-60836868,VIP,C19082602251,0,0,Female,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-1912245228,NOR,LF1175717750,0,B,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-2067189292,VIP,C23112902521,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
644980957,NOR,HQ1200303775,0,G,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
625315057,NOR,C21122002701,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1999292210,NOR,C18050700664,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1647545118,BCO,LF1175564709,I,E,Female,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-1021044483,BCO,C19062401763,0,0,Male,SIN,CONTACTLESS,MEDAN,ON US
1655935584,BCO,C21063000845,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
909113663,NOR,LF1140520453,B,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1300422813,DEP,LF2140025085,0,Z,Male,SIN,NOT CONTACTLESS,PALEMBANG,ON US
466429362,BCO,LF3140033222,B,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
2124832381,NOR,C23030800578,0,0,Female,SIN,NOT CONTACTLESS,DENPASAR,ON US
-822909540,BCO,LF1175091542,B,B,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1930341357,NOR,LF1175001674,F,V,Female,SIN,NOT CONTACTLESS,MEDAN,ON US
191890496,BCO,LF1140312024,0,Z,Female,MAR,NOT CONTACTLESS,MAKASSAR,ON US
753738144,BCO,LF1150010017,B,B,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
403111203,NOR,LF1140101377,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1425686656,NOR,LF1140034355,0,Z,Male,MAR,CONTACTLESS,SURABAYA,ON US
641358226,BCO,LF1150725398,B,B,Male,MAR,CONTACTLESS,JAKARTA 3,ON US
625315057,NOR,C21122002701,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1257324414,BCO,C20021902090,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1312615935,BCO,C21031200230,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1374389505,NOR,C23110500145,0,0,Male,MAR,NOT CONTACTLESS,DENPASAR,ON US
-489982000,NOR,LF1165638390,0,B,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-132676092,NOR,HQ1100337486,F,G,Female,MAR,CONTACTLESS,JAKARTA 3,ON US
763340172,BCO,HQ0700086603,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-91488747,NOR,BP1200033735,F,V,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
1809413668,BCO,MD1400021518,B,B,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
-882964463,NOR,C23092502856,0,0,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
300328498,NOR,C21102702373,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1159622741,BCO,SB1400000253,L,Z,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
-1306901771,VIP,C19081202223,0,0,Male,SIN,NOT CONTACTLESS,BALIKPAPAN,ON US
625315057,NOR,C21122002701,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
-1154559794,NOR,HQ1200289116,0,E,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-874234093,BCO,C23052200493,0,0,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
1514509404,NOR,HQ0900241262,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
218847428,NOR,C23090801278,0,0,Female,SIN,NOT CONTACTLESS,PALEMBANG,ON US
-1080479795,BCO,C23121102937,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
2136754773,NOR,HQ1200238056,F,G,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-131389796,NOR,C23091501982,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-760824484,STF,C18111602400,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-359029537,BCO,C21092302316,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1005297267,NOR,C23120600600,0,0,Female,SIN,NOT CONTACTLESS,BANDUNG,ON US
625315057,BCO,C21081802059,0,0,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
909140180,BCO,C23032900689,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
56078546,NOR,MK1000003090,0,0,Male,MAR,NOT CONTACTLESS,MAKASSAR,ON US
1190005294,BCO,SB1400016636,B,Z,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1623342348,NOR,LF1175643479,B,B,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
1537417759,NOR,,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
1215973955,NOR,SB1200054422,B,V,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
245777613,BCO,LF1130032463,B,S,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
249512737,NOR,LF1180255541,I,E,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1711622605,BCO,C19110601932,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-277501856,BCO,C22092100995,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
998952018,BCO,C23092501120,0,0,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1200851995,NOR,C23102002596,0,0,Male,SIN,NOT CONTACTLESS,MAKASSAR,ON US
1088443085,BCO,HQ0500287957,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
1525004884,NOR,HQ1200259545,0,G,Female,SIN,NOT CONTACTLESS,BALIKPAPAN,ON US
852640467,NOR,LF1150741600,B,B,Female,MAR,NOT CONTACTLESS,PALEMBANG,ON US
696515301,BCO,PB1100036846,0,S,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
466235551,BCO,LF1140005440,0,S,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
956955549,NOR,MK1400001448,B,Z,Male,MAR,NOT CONTACTLESS,MAKASSAR,ON US
-1622129476,NOR,LF1140123567,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-947154163,NOR,LF1140147687,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
7307264,NOR,LF1140602790,B,B,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
829890965,BCO,SB1200051410,0,V,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-2121507987,NOR,LF1165491860,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1625249073,NOR,LF1175266579,B,B,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
543493228,NOR,LF1175529619,B,B,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
1451725793,NOR,LF1175446316,B,B,Male,MAR,NOT CONTACTLESS,PALEMBANG,ON US
-1859335291,BCO,LF1150608573,B,B,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
1926281246,BCO,LF1140299101,B,Z,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
1873685588,BCO,LF1150396255,0,B,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1441478224,BCO,BD1500002456,B,Y,Male,SIN,NOT CONTACTLESS,BANDUNG,ON US
1283730353,NOR,C19022101548,0,0,Male,MAR,CONTACTLESS,SURABAYA,ON US
-1054487188,BCO,C19030100551,0,0,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
-1388109598,NOR,LF1175054891,B,F,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-653206334,NOR,LF1175970663,B,B,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-9225147,BCO,C22082200313,0,0,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
1479202527,NOR,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1366769892,NOR,,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
1849611772,CLS,C23030602442,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
1397679315,CLS,C23081003182,0,0,Female,SIN,NOT CONTACTLESS,DENPASAR,ON US
819550129,NOR,LF1180216246,B,4,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1612577169,NOR,C23092004202,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1547461853,BCO,C23022701514,0,0,Male,SIN,CONTACTLESS,MAKASSAR,ON US
448947794,NOR,C23070300065,0,0,Male,MAR,CONTACTLESS,BALIKPAPAN,ON US
1980162061,BCO,C23072000922,0,0,Female,MAR,CONTACTLESS,DENPASAR,ON US
-1910918750,BCO,LF1150645789,B,B,Female,MAR,CONTACTLESS,JAKARTA 3,ON US
-1632454156,NOR,BD1000059140,0,0,Female,SIN,NOT CONTACTLESS,BANDUNG,ON US
-477402623,NOR,LF1140481591,0,Z,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1192717472,NOR,HQ0800092337,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
782027053,NOR,LF1165125347,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1407177467,BCO,,0,0,Female,SIN,NOT CONTACTLESS,MEDAN,ON US
1140750995,NOR,C21052700746,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1244664093,NOR,C21102601525,0,0,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
2013242528,NOR,C22062101092,0,0,Female,MAR,NOT CONTACTLESS,PALEMBANG,ON US
496833904,BCO,HQ1200331868,0,B,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1869342239,CLS,C23112901409,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-894289536,NOR,LF1130189150,0,Y,Male,CNV,NOT CONTACTLESS,JAKARTA 5,ON US
1985983231,NOR,LF1140123774,0,Z,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1802221854,NOR,LF1140447723,0,Z,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1101896976,BCO,C21072900417,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
2103163956,NOR,HQ1200290315,0,G,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
953474911,WMG,C23061403919,0,0,Female,DIV,CONTACTLESS,SEMARANG,ON US
-1893322589,WMG,C21042101343,0,0,Female,MAR,NOT CONTACTLESS,MEDAN,ON US
1586238255,NOR,LF1180203003,L,Y,Male,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
-1348736947,BCO,C19100902451,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-1297409917,CLS,C21031700467,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1802847260,NOR,C23120802652,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-597622769,NOR,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1344937469,NOR,MK0800002488,0,0,Female,SIN,NOT CONTACTLESS,MAKASSAR,ON US
72714741,NOR,HQ1100268879,0,H,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
2129222352,NOR,PB1200012734,F,G,Female,MAR,NOT CONTACTLESS,PALEMBANG,ON US
1786775436,NOR,LF1150329239,0,B,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
894340066,NOR,,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
794722526,BCO,HQ1100222513,0,S,Male,MAR,CONTACTLESS,PALEMBANG,ON US
-149333341,NOR,BD1300025904,I,E,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
978460464,NOR,LF1140317930,0,Z,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
2137252770,BCO,,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1939401500,CLS,C21102201279,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
272335553,NOR,C22022402012,0,0,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
-1507645492,NOR,C22102900574,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 4,ON US
140343087,BCO,C23053001557,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
1521697411,BCO,C23071802108,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1670797119,CLS,C18050700807,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
1598064878,NOR,HQ1200278989,0,G,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
307797795,NOR,C22010700267,0,0,Female,SIN,NOT CONTACTLESS,SURABAYA,ON US
-303562733,CLS,C21062100453,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-618111506,WMG,,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-1415856764,NOR,LF1175532002,B,F,Female,MAR,NOT CONTACTLESS,SEMARANG,ON US
637354718,NOR,C23121500138,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
545240387,NOR,LF1165405778,B,B,Female,MAR,CONTACTLESS,MAKASSAR,ON US
1113197761,BCO,C21062901234,0,0,Female,SIN,CONTACTLESS,JAKARTA 4,ON US
909023231,NOR,,0,0,Female,MAR,CONTACTLESS,DENPASAR,ON US
-261479472,BCO,C22102002190,0,0,Female,MAR,CONTACTLESS,JAKARTA 3,ON US
-658303389,BCO,C21032600170,0,0,Male,MAR,CONTACTLESS,JAKARTA 3,ON US
-334771460,BCO,LF1155329570,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-2147292524,BCO,LF1175967366,B,Y,Male,MAR,CONTACTLESS,BANDUNG,ON US
225867057,NOR,C18051400532,0,0,Female,SIN,CONTACTLESS,JAKARTA 5,ON US
1655925533,BCO,C22100700197,0,0,Male,SIN,NOT CONTACTLESS,JAKARTA 3,ON US
-521199060,NOR,C23101302539,0,0,Male,SIN,NOT CONTACTLESS,MEDAN,ON US
53230533,NOR,BD1000043240,0,0,Female,MAR,CONTACTLESS,BANDUNG,ON US
1978090960,BCO,LF1130064700,B,S,Male,SIN,CONTACTLESS,SURABAYA,ON US
1806345059,NOR,MD0900006708,0,0,Male,MAR,NOT CONTACTLESS,MEDAN,ON US
1030164915,NOR,,0,0,Female,MAR,NOT CONTACTLESS,SURABAYA,ON US
-306124411,NOR,PB1300023371,0,G,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-485607156,NOR,HQ0700000444,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
-1510861996,NOR,C23112203602,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
641568003,NOR,C23112902558,0,0,Male,SIN,NOT CONTACTLESS,SEMARANG,ON US
846245796,BCO,C19073002044,0,0,Male,SIN,NOT CONTACTLESS,SURABAYA,ON US
1490473902,NOR,BP1400013140,B,Z,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-677554064,BCO,C18120602266,0,0,Male,MAR,NOT CONTACTLESS,MAKASSAR,ON US
-118450641,BCO,C20010201759,0,0,Female,SIN,NOT CONTACTLESS,JAKARTA 5,ON US
463200933,VIP,C19012500444,0,0,Male,MAR,NOT CONTACTLESS,BANDUNG,ON US
-1386209618,WMG,C21071400480,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1461412645,NOR,C19062500682,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-2110800061,BCO,BP1200028999,B,S,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-1754968656,BCO,C19022202501,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
780170172,NOR,BD0700030191,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-90139999,NOR,SB0700042474,0,0,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
1775625794,NOR,HQ1100116819,L,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-1142039790,NOR,LF1150279965,0,Z,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
2049652879,NOR,LF1140120866,0,Z,Male,MAR,NOT CONTACTLESS,JAKARTA 4,ON US
-112794516,NOR,,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1476051858,BCO,BP1300007915,B,S,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1960910100,NOR,LF1140266058,0,Y,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-1209874447,BCO,BP1400013590,B,Z,Female,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-1531794700,NOR,LF1140406391,0,Z,Male,MAR,NOT CONTACTLESS,SURABAYA,ON US
-1897021508,NOR,LF1175007678,B,B,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
-874957852,BCO,BP1200037576,B,S,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
1409710964,BCO,LF1130011675,B,S,Male,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
-2028569794,BCO,SB1000012954,0,0,Female,MAR,NOT CONTACTLESS,DENPASAR,ON US
-1488631774,CLS,C23032701704,0,0,Male,MAR,CONTACTLESS,JAKARTA 4,ON US
-1906212323,WMG,,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
2059243200,BCO,C22102801384,0,0,Female,MAR,NOT CONTACTLESS,BANDUNG,ON US
443597410,BCO,C23052700524,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
-1564134526,WMG,C23070400902,0,0,Female,MAR,NOT CONTACTLESS,JAKARTA 5,ON US
1030153171,CLS,C22041200713,0,0,Male,MAR,NOT CONTACTLESS,BALIKPAPAN,ON US
-1960027940,BCO,C22090800537,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
1735273231,NOR,C23050500582,0,0,Male,MAR,NOT CONTACTLESS,SEMARANG,ON US
4921343,BCO,C23072402155,0,0,Male,MAR,NOT CONTACTLESS,JAKARTA 3,ON US
